intern,DatasetID,Warning Message,Error Message,has_visualization,No papers linked - hard to find other data,"Multiple Papers linked, none match NEMAR",HED anotation,Participants,Age range,Dataset size,Number of files,Number of sessions, Scans/session,Type of subjects,Format,Modality,additional modality,EEG Modality,MEG Modality,iEEG modality,Has MRI,Has EOG,Has Behavioral,Has fMRi,Has EcOg,Has DBS,Has SMI,Has EMG,Has TMS,Has ECG,Has SEEG,Has VEOG,Has fNIRS,Has Blood Tests,Eye tracking,Other (put in name),EEG channels,10-20,MEG channels,ECG channels,Ecog channels,EMG channels,EOG channels,MEG REF channels,SEEG channel,Trigger,Misc Channels,Type of data,Modality of experiment,FOR FIGURE - modality of exp,Type of experiment,FOR FIGURE - type of exp,Tasks,Paper of Interest,BIDS version,First author state,Author country,Authors from multiple institutions,Authors from multiple institutions in different state/country,Published date,Uploaded by,Date last update,Dataset DOI,References and links,License,On Brainlife.org,Funding,Ethics Approvals,IRB
Viraaj,ds004448,n/a,,FALSE,,,No,56,19-58,0.041 TB,1407,5,0,healthy,.edf,EEG,n/a,X,,,,,,,,,,,,,,,,,,,129,other,,,,,,,,,,continuous,visual instruction,Visual,Motor imagery,Motor,smrbmi,,1.7.0,Kanagawa,Japan,N,N,2023-01-26 5:19:30,Seitaro Iwama,,doi:10.18112/openneuro.ds004448.v1.0.2,,CC0,FALSE,JST Moonshot R&D JPMJMS2013,"All experiments to collect the datasets were performed in accordance with the Declaration of Helsinki and the experimental procedures were approved by the Ethics Committee of the Faculty of Science and Technology, Keio University (IRB approval number: 2020–38 or 2021–74). Written informed consent to participate in the present study was obtained from every participant.",
Viraaj,ds003708,n/a,,FALSE,,,No,1,,0.606 GB,278,1,1,patient with brain tumor,".tdat, .tidx, .tmet, .mefd, .segd, .timd",iEEG,n/a,,,X,,,,,,,,,,,,,,,,,,other,,1,76`,,,,12,,,continuous,electrical stimulation,Stimulation,anatomical visualization,Neuroimaging,rest,,v 1.3.0,Minnesota,United States,Y,Y,2021-06-23 18:53:45,Dora Hermes,,doi:10.18112/openneuro.ds003708.v1.0.4,https://doi.org/10.1101/2021.01.24.428020,CC0,FALSE,R01 MH122258 CRCNS: Processing speed in the human connectome across the lifespan,,
Viraaj,ds004473,n/a,,FALSE,,,No,8,26-47,0.007 TB,126,1,0,epilepsy patients,.edf,"iEEG, MRI",behavioral,,,X,X,,X,,,,,,,,,,,,,,,other,,,,,,,129,,,continuous,Visual,Visual,Decision,Decision-making,SlowFast,,1.9.2,Oregon,United States,Y,N,2023-02-08 0:47:59,Alexander Rockhill,,doi:10.18112/openneuro.ds004473.v1.0.2,,CC0,FALSE,"Renée James Seed grant to Accelerate Scientific Research from University of Oregon (A P R, N C S, P I: N Swann) and NIH-1RF1MH117155-01 (B S, A M, A M R, P I: A Raslan)", Internal Review Board (IRB) approval was obtained at Oregon Health & Science University (MOD00042329). Informed consent was obtained under the Declaration of the Principles of Helsinki. All participants were above the age of 16 and gave written informed consent. Consent was given for publication of anonymized identifiable data from all participants. Participants were not enrolled in a clinical trial for this research.,
Viraaj,ds004475,n/a,,FALSE,,,No,30,19-26,0.052 TB,246,1,0,"healthy, right-foot dominant",".fdt, .mat, .nii, .set","EEG, MRI",motion capture,X,,,X,,,,,,,,,,,,,,,motion capture,122,other,,,,8,,,,,125,continuous,Split-belt walking,Motor,Gait adaptation,Motor,task,,1.1.1,Florida,United States,N,N,2023-07-31 17:42:53,Noelle Jacobsen,,doi:10.18112/openneuro.ds004475.v1.0.3,"Jacobsen, N. A., & Ferris, D. P. (2023). Electrocortical activity correlated with locomotor adaptation during split-belt treadmill walking. The Journal of Physiology. https://doi.org/10.1113/JP284505",CC0,FALSE,NIH R01-NS104772 ===NEMAR-SEP=== T32-NS082128,IRB201701603,Yes
Viraaj,ds004477,n/a,,FALSE,,,No,9,21-38,0.024 TB,68,1,0,healthy,.bdf,EEG,n/a,X,,,,,,,,,,,,,,,,,,,79,10-20,,,,,,,,1,,continuous,"Hypothetical scenario (visual, audio)",Multisensory,Decision,Decision-making,PES,,1.7.0,Essex,UK,Y,Y,2023-02-08 16:28:07,Rodrigo Ramele,,doi:10.18112/openneuro.ds004477.v1.0.2,https://www.essex.ac.uk/research-projects/adaptive-joint-cognitive-systems ===NEMAR-SEP=== https://www.defense.gov/News/Releases/Release/Article/1644263/dod-announces-bari-award-for-us-uk-collaboration-on-human-machine-teaming/,CC0,FALSE,UK Ministry of Defence (MOD) via funding from US/UK DoD BARI,"The study complied at all times with the Declaration of Helsinki ethical guidelines for research involving human subjects; formal ethical approval was granted by the Ministry of Defence Research Ethics Committee MoDREC - Application No: 983/MoDREC/19 first approved on 5th September 2019, with revisions (ver. 3) approved on the 3rd of June 2021.",
Viraaj,ds004483,Please use the checkmaxfilter option before processing the dataset. The reason this dataset does not have statistics is because it cannot be processed automatically (the checkmaxfilter option is not used for automated processing). See https://github.com/fieldtrip/fieldtrip/issues/2373 and https://github.com/fieldtrip/fieldtrip/issues/2372,,FALSE,,,No,19,22-33,0.025 TB,1384,1,14,Healthy,.fif,MEG,n/a,,X,,,,,,,,,,,,,,,,,,60,other,306,1,,1,2,0,,19,7,continuous,Audio,Auditory,Memory,Memory,abseq,,1.6.0,Essonne,France,Y,Y,2023-07-07 16:31:14,Fosca Al Roumi,,doi:10.18112/openneuro.ds004483.v1.0.0,,CC0,FALSE,"European Research Council (ERC, https://erc.europa.eu/) grant to S.D. (NeuroSyntax, ID: 695403).",The experiments were approved by the national ethical committees (CPP Ile-de-France III and CPP Sud-Est VI).,
Viraaj,ds004502,n/a,,TRUE,,,No,48,18-31,0.064 TB,319,1,0,"spanish, right-handed, healthy",".eeg, .set, .vhdr, .vmrk",EEG,n/a,X,,,,,,,,,,,,,,,,,,,65,10-20,,,,,,,,,,continuous,Visual,Visual,Selective attention and expectation,Attention,attexp,,1.2,Granada,Spain,Y,Y,2023-02-16 23:40:24,José M. G. Peñalver,,doi:10.18112/openneuro.ds004502.v1.0.1,,CC0,FALSE,,,
Kayla,ds004504,n/a,,TRUE,,,No,88,,2.6 GB,269,1,0,"Alzheimer's Patients, FTD patients, healthy",.set,EEG,Mini-Mental State Examination (MMSE),X,,,,,,,,,,,,,,,,,,Mini-Mental State Examination (MMSE),19,10-20,,,,,,,,,,continuous,Resting state EEG,Resting State,Resting state task,Neuroimaging,eyesclosed,,v1.2.1,Arta,Greece,y,n,2023-02-17 8:53:52,??????? ??????????,,doi:10.18112/openneuro.ds004504.v1.0.7,"Miltiadous, A., Tzimourta, K. D., Afrantou, T., Ioannidis, P., Grigoriadis, N., Tsalikakis, D. G., Angelidis, P., Tsipouras, M. G., Glavas, E., Giannakeas, N., & Tzallas, A. T. (2023). A Dataset of Scalp EEG Recordings of Alzheimer’s Disease, Frontotemporal Dementia and Healthy Subjects from Routine EEG. Data, 8(6), 95. doi: 10.3390/data8060095 ===NEMAR-SEP=== Miltiadous, A., Gionanidis, E., Tzimourta, K. D., Giannakeas, N., & Tzallas, A. T. (2023). DICE-net: A Novel Convolution-Transformer Architecture for Alzheimer Detection in EEG Signals. IEEE Access, 1–1. doi: 10.1109/ACCESS.2023.3294618",CC0,FALSE,"We acknowledge support of this work from the project “Immersive Virtual, Augmented and Mixed Reality Center of Epirus” (MIS 5047221), which is implemented under the action “Reinforcement of the Research and Innovation Infrastructure”, funded by the Operational Program “Competitiveness, Entrepreneurship and Innovation” (NSRF 2014-2020), and co-financed by Greece and the European Union (European Regional Development Fund). ; ","The study was conducted in accordance with the Declaration of Helsinki and approved by the Scientific and Ethics Committee of AHEPA University Hospital, Aristotle University of Thessaloniki, under protocol number 142/12-04-2023.",
Kayla,ds004370,n/a,,,,,No,7,13 - 53,27.6 GB,130,1,15,Epilepsy patients,".eeg, .vhdr, .vmrk",iEEG,MRI,,,X,X,,,,,,,,,,,,,,,,,,,1,48,1,,,,1,,continuous,Single Pulse Electrical Stimulation (SPES),Stimulation,Effect of propofol ,Clinical/Intervention,"task-SPESclin, task-SPESprop",,Brain Imaging Data Structure Specification v1.6.0,Utrecht,Netherlands,y,n,2024-03-05 16:27:50,Epilab UMCU,,doi:10.18112/openneuro.ds004370.v1.0.2,see HowToAcknowledge,CC0,FALSE,EpilepsieNL #17-07 ===NEMAR-SEP=== EpilepsieNL #19-12 ===NEMAR-SEP=== NIH RO1MH122258,"This study was approved by the Medical Ethics Committee in the UMC Utrecht, the Netherlands",
Kayla,ds004505,n/a,,TRUE,,,No,25,,0.037 TB,230,1,0,healthy,".fdt, .mp4, .nii, .prproj, .set","EEG, MRI","inertial measurement unit (IMU) acceleration, T1 structural MR images, and video data",X,,,X,,,,,,,,,,,,,,,inertial measurement unit (IMU) acceleration,120,10-20,,,,8,,,,,142,continuous,Motor,Motor,Whole body movement + EEG artifact method development3,Motor,TableTennis,,1.1.1,Florida,USA,n,n,2023-03-30 17:04:08,Amanda Studnicki,,doi:10.18112/openneuro.ds004505.v1.0.4,https://doi.org/10.3390/s22155867,CC0,FALSE,National Science Foundation Division of Behavioral and Cognitive Sciences (BCS-1835317),University of Florida Institutional Review Board (IRB201801727),
Kayla,ds004515,n/a,,TRUE,,,No,54,18 - 55,0.01 TB,1076,1,0,"Hazardous drinkers, control (healthy)",".fdt, .set",EEG,AUDIT score,X,,,,,,,,,,,,,,,,,,AUDIT score,64,10-20,,,,,,,,,66,continuous,Visual ,Visual,"Reward positivity (RewP), EEG measure due to image shown",Affect,ProbabilisticSelection,,1.1.1,New Mexico,USA,y,y,2023-06-09 21:11:02,James F Cavanagh,,doi:10.18112/openneuro.ds004515.v1.0.0,pending,CC0,FALSE, Grand Challenge Award,,
Kayla,ds004532,n/a,,TRUE,,,No,110,18 - 30,0.023 TB,1009,2,0,healthy,".fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,64,10-20,,,,,,,,,64,continuous,Pharmaceutical,Pharmaceutical,Decision/Learning,Decision-making,PST (probabilistic selection task),,1.1.1,New Mexico,USA,y,y,2023-03-16 16:17:50,James F Cavanagh,,doi:10.18112/openneuro.ds004532.v1.2.0,PMID: 25367437,CC0,FALSE,,Both experiments were approved by the Brown University Institutional Review Board and all participants provided written informed consent,
Kayla,ds004551,n/a,,FALSE,,,No,114,1-41,68.9 GB,504,3,1,Epilepsy patients,.edf,iEEG,n/a,,,X,,,,,,,,,,,,,,,,,,other,,,128,,,,,,,continuous,Sleep,Sleep,iEEG measurements during slow wave sleep,Neuroimaging,sleep,,1.7.0,Michigan,USA,y,y,2023-04-07 11:11:05,Kaz Sakakura,,doi:10.18112/openneuro.ds004551.v1.0.6,,CC0,FALSE,N/A,IRB of Wayne State University,
Kayla,ds004561,n/a,,FALSE,,,No,23,19 - 24,0.105 TB,212,1,0,UChicago undergrads,".eeg, .vhdr, .vmrk",EEG,n/a,X,,,,,,,,,,,,,,,,,,,62,10-20,,,,,2,,,,,continuous,EMS (electrical muscle stimulation),Stimulation,Movement,Motor,agencyRT,,1.6.0,Illinois,USA,n,n,2023-05-04 0:31:19,John Veillette,,doi:10.18112/openneuro.ds004561.v1.0.0,,CC0,FALSE,,,
Kayla,ds004563,n/a,,FALSE,,,No,40,17 - 40,0.108 TB,377,3,0,Right-handed Macquarie University undergrads,.bdf,EEG,time-resolved multivariate pattern analysis,X,,,,,,,,,,,,,,,,,,time-resolved multivariate pattern analysis,63,other,,,,,,,,,,continuous,Visual and Tactile,Multisensory,Neural Representations,Neuroimaging,Touch decoding,,v1.8.0,New South Wales,Australia,y,y,2023-07-05 0:22:01,Sophie Smit,,doi:10.18112/openneuro.ds004563.v1.0.1,,CC0,FALSE,,The study was approved by the Macquarie University Ethics Committee.,
Kayla,ds004574,n/a,,TRUE,,,No,146,,0.014 TB,1174,1,0,parkinsons patients and control,".fdt, .set",EEG,behavioral,X,,,,,X,,,,,,,,,,,,,,63,10-20,,,,,,,,,,continuous,Visual and audio,Visual,Measured cue-evoked delta (1–4 Hz) and theta (4–7 Hz) rhythm during task,Neuroimaging,Oddball,,v1.2.1,South Dakota,USA,y,y,2023-05-24 17:04:50,Nandakumar Narayanan,,doi:10.18112/openneuro.ds004574.v1.0.0,doi: https://doi.org/10.1101/2022.07.26.22278079,CC0,FALSE,"This dataset was supported by NIH P20NS123151 and R01NS100849 to NSN, ===NEMAR-SEP=== and NRSA F32 AG069445-01 to RC. All research protocols were approved by the University of Iowa ===NEMAR-SEP=== Human Subjects Review Board (IRB# 201707828).",All PD and control participants were determined to have the decisional capacity to provide informed consent in accordance with the Declaration of Helsinki and the Ethics Committee on Human Research. We obtained written informed consent from each participant. All research protocols were approved by the University of Iowa Human Subjects Review Board (IRB# 201707828),
Kayla,ds004577,n/a,,TRUE,,,No,103,0-1,0.001 TB,914,4,0,infants,.edf,EEG,n/a,X,,,,,,,,,,,,,,,,,,,21,10-20,,,,,,,,,,continuous,Sleep,Sleep,Developmental,Neuroimaging,EEG,,1.6.0,Toluca,Mexico,y,y,2023-05-25 16:05:35,Thalia Harmony,,doi:10.18112/openneuro.ds004577.v1.0.1,"Otero GA, Harmony T, Pliego-Rivero FB, Ricardo-Garcell J, Bosch-Bayard J, Porcayo-Mercado R, Fernández-Bouzas A, Díaz-Comas L, Galán L, Vieyra-Reyes P, Fernández T. QEEG norms for the first year of life. Early Hum Dev, 87: 691-703, 2011.DOI: 10.1016/j.earlhumdev.2011.05.010 ===NEMAR-SEP=== Bosch-Bayard Jorge, Valdés-Sosa Pedro A., Fernandez T., Otero G., Pliego Rivero B., Ricardo-Garcell J., González-Frankenberger B., Galán-García L., Fernandez-Bouzas A., Aubert-Vazquez E., Lage-Castellanos A., Rodríguez-Valdés R., Harmony, T. 3D Statistical Parametric Mapping of quiet sleep EEG in the first year of life. Neuroimage, 59: 3297–3308, 2012. DOI: 10.1016/j.neuroimage.2011.11.001 ===NEMAR-SEP=== Bosch-Bayard J, Biscay RJ, Fernandez T, Otero GA, Ricardo-Garcell J, Aubert-Vazquez E, Evans AC, Harmony T. EEG effective connectivity during the first year of life mirrors brain synaptogenesis, myelination, and early right hemisphere predominance. NeuroImage 252 (2022) 119035. https://doi.org/10.1016/j.neuroimage.2022.119035",CC0,FALSE,Dirección General Del Personal Académico IT200223,Ethical permission was obtained from the Ethics Committee of the Instituto de Neurobiología of the Universidad Nacional Autónoma de México which also complied with the Ethical Principles for Medical Research Involving Human Subjects outlined in the Helsinki Declaration.,
Kayla,ds004579,n/a,,TRUE,,,No,139,,0.026 TB,979,1,0,parkinsons patients and control,".fdt, .set",EEG,cognitive tasks,X,,,,,,,,,,,,,,,,,,cognitive tasks,63,10-20,,,,,,,,,,continuous,Visual,Visual,Perception/ Decision,Decision-making,IntervalTiming,,v1.2.1,California ,USA,y,y,2023-05-25 16:41:59,Nandakumar Narayanan,,doi:10.18112/openneuro.ds004579.v1.0.0,doi: https://doi.org/10.1101/2022.07.26.22278079,CC0,FALSE,"This data was supported by NIH P20NS123151 and R01NS100849 to NSN, NRSA F32 AG069445-01 to RC.",All PD and control participants were determined to have the decisional capacity to provide informed consent in accordance with the Declaration of Helsinki and the Ethics Committee on Human Research. We obtained written informed consent from each participant. All research protocols were approved by the University of Iowa Human Subjects Review Board (IRB# 201707828),
Kayla,ds004580,n/a,,TRUE,,,No,147,,0.017 TB,1182,1,0,parkinsons patients and control,".fdt, .set",EEG,cognitive tasks,X,,,,,,,,,,,,,,,,,,cognitive tasks,63,10-20,,,,,,,,,,continuous,Visual,Visual,Perception/ Decision,Decision-making,Simon,,v1.2.1,California ,USA,y,y,2023-05-25 16:55:56,Nandakumar Narayanan,,doi:10.18112/openneuro.ds004580.v1.0.0,doi: https://doi.org/10.1101/2022.07.26.22278079,CC0,FALSE,"This dataset was supported by NIH P20NS123151 and R01NS100849 to NSN, ===NEMAR-SEP=== and NRSA F32 AG069445-01 to RC. All research protocols were approved by the University of Iowa ===NEMAR-SEP=== Human Subjects Review Board (IRB# 201707828).",All PD and control participants were determined to have the decisional capacity to provide informed consent in accordance with the Declaration of Helsinki and the Ethics Committee on Human Research. We obtained written informed consent from each participant. All research protocols were approved by the University of Iowa Human Subjects Review Board (IRB# 201707828),
Kayla,ds004584,n/a,,TRUE,,,No,149,,0.003 TB,1049,1,0,parkinsons patients and control,".fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,63,10-20,,,,,,,,,,continuous,Resting state EEG,Resting State,Resting state task,Neuroimaging,Rest,,v1.2.1,California ,USA,y,y,2023-06-07 21:22:39,Nandakumar Narayanan,,doi:10.18112/openneuro.ds004584.v1.0.0,doi: https://doi.org/10.1101/2022.07.26.22278079,CC0,FALSE,"This dataset was supported by NIH P20NS123151 and R01NS100849 to NSN, ===NEMAR-SEP=== and NRSA F32 AG069445-01 to RC. All research protocols were approved by the University of Iowa ===NEMAR-SEP=== Human Subjects Review Board (IRB# 201707828).",All PD and control participants were determined to have the decisional capacity to provide informed consent in accordance with the Declaration of Helsinki and the Ethics Committee on Human Research. We obtained written informed consent from each participant. All research protocols were approved by the University of Iowa Human Subjects Review Board (IRB# 201707828),
Kayla,ds004588,n/a,,TRUE,,,No,42,,0.001 TB,216,1,0,Native Greek speakers,".fdt, .set",EEG,"eye tracking, questionnare, computer mouse data",X,,,,,,,,,,,,,,,,,X,"questionnare, computer mouse data",24,10-20,,,,,,,,,,continuous,Visual,Visual,Decision,Decision-making,unnamed,,1.8.0,Thermi-Thessaloniki,Greece,y,y,2023-06-01 11:51:40,Kostas Georgiadis,,doi:10.18112/openneuro.ds004588.v1.2.0,,CC0,FALSE,,,
Kayla,ds004595,n/a,,TRUE,,,No,53,18 - 55,0.008 TB,569,1,0,"Hazardous drinkers, control (healthy)",".fdt, .set",EEG,questionnaires including the AUDIT and BDI,X,,,,,,,,,,,,,,,,,,,64,10-20,,,,,,,,,66,continuous,Visual,Visual,Decision,Decision-making,ThreeArmedBandit,,1.1.1,New Mexico,USA,y,y,2023-07-28 15:58:30,James F Cavanagh,,doi:10.18112/openneuro.ds004595.v1.0.0,pending,CC0,FALSE,"This work was supported by a University of New Mexico President’s Grand Challenges pilot award, NIAAA R01AA023665 award for EDC and KW. JH’s effort while writing this manuscript was supported by P20GM109089. JFC and GS were supported by R01MH119382.",,
Kayla,ds004602,n/a,,FALSE,,,No,182,18-65,0.079 TB,3828,1,0,BYU and USF students ,".fdt, .set",EEG,"Achenbach Adult Self Report (ASR; Achenbach & Rescorla, 2003)",X,,,,,,,,,,,,,,,,,,"Achenbach Adult Self Report (ASR; Achenbach & Rescorla, 2003)",128,other,,,,,,,,,,continuous,Visual,Visual,Perception,Perception,mixed,,v1.8.0,Florida,USA,y,y,2023-07-21 19:05:20,Peter Clayson,,doi:10.18112/openneuro.ds004602.v1.0.1,https://osf.io/8cbua/,CC0,FALSE,,,
Kayla,ds004603,n/a,,FALSE,,,No,37,17-30,0.029 TB,338,1,0,"Healthy, normal vision",".eeg, .vhdr, .vmrk",EEG,behavioral,X,,,,,X,,,,,,,,,,,,,,64,10-20,,,,,,,,1,,continuous,Visual,Visual,Perception,Perception,CTP,,1.11.0,Queensland,Australia,y,n,2023-06-13 3:10:20,Benjamin G. Lowe,,doi:10.18112/openneuro.ds004603.v1.1.0,,CC0,FALSE,,,
Kayla,ds004621,n/a,,,,,No,42,20 - 34,0.083 TB,848,1,0,Healthy,".eeg, .vhdr, .vmrk",EEG,n/a,X,,,,,,,,,,,,,,,,,,,127,,,,,,,,,,,continuous,Visual,Visual,"Reaction Time, decision,",Decision-making,"Extended Multi-Source Interference Task (MSIT+), Oddball, Resting state protocol (REST), Simple reaction time task (SRT)",https://academic.oup.com/gigascience/article/doi/10.1093/gigascience/giac015/6543635,1.0.2,Warsaw ,Poland,y,n,2023-10-12 13:01:56,Patrycja Dzianok,,doi:10.18112/openneuro.ds004621.v1.0.1,"Dzianok P, Antonova I, Wojciechowski J, Dreszer J, Kublik E. Supporting data for 'The Nencki-Symfonia EEG/ERP dataset: Multiple cognitive tasks and resting-state data collected in a sample of healthy adults'. GigaScience Database, 2022. http://doi.org/10.5524/100990 ===NEMAR-SEP=== Dzianok P, Antonova I, Wojciechowski J, Dreszer J, Kublik E. The Nencki-Symfonia electroencephalography/event-related potential dataset: Multiple cognitive tasks and resting-state data collected in a sample of healthy adults. Gigascience. 2022 Mar 7;11:giac015. doi: 10.1093/gigascience/giac015",CC0,FALSE,Polish National Science Center (NCN) grant no. 2016/20/W/NZ4/00354,"This study was approved by the Research Ethics Committee, Faculty of Humanities, Nicolaus Copernicus University in Torun, Poland (No. 6/2018)",
Kayla,ds004696,n/a,,FALSE,,,No,8,13 - 63,14.2 GB,5163,1,1,drug resistant epilepsy patients,".tdat, .tidx, .tmet, .mefd, .segd, .timd",iEEG,diffusion MRI,,,X,X,,,,,,,,,,,,,,,,21,10-20,,1,,,,,170,,,continuous,single pulse stimulation,Stimulation,Measurements of corticocortical evoked potentials (CCEPs),Neuroimaging,Cortico-Cortical Evoked Potentials -CCEPs,,1.12.0,Minnesota,USA,n,n,2023-08-16 13:32:23,A Gabriela Ojeda Valencia,,doi:10.18112/openneuro.ds004696.v1.0.1,,CC0,FALSE,NIH RO1MH122258 ===NEMAR-SEP=== The DERIVE Office and the Mayo Clinic Center for Biomedical Discovery,"provided informed consent to participate in the study, which was approved by the Institutional Review Board of Mayo Clinic.",
Kayla,ds004626,n/a,,FALSE,,,No,52,19 - 35,0.021 TB,266,1,0,lonely and non-lonely participants,".fdt, .set",EEG,behavioral,X,,,,,X,,,,,,,,,,,,,,68,10-20,,,,,,,,,,continuous,Visual,Visual,Attentional,Attention,DotProbe,,1.8.0,Warsaw ,Poland,n,n,2023-08-07 12:06:38,Lukasz Okruszek,,doi:10.18112/openneuro.ds004626.v1.0.2,,CC0,FALSE,"National Science Center, Poland (2019/35/B/HS6/00517)","Approved by the Ethical Committee at the Institute of Psychology, Polish Academy of Science",
Kayla,ds004635,n/a,,FALSE,,,No,48,5-10-month-old,26.1 GB,292,1,0,5-10-month-old infants,.set,EEG,n/a,X,,,,,,,,,,,,,,,,,,,129,other,,,,,,,,,,continuous,Visual and Audio,Multisensory,Resting state data,Neuroimaging,resting,,1.8.0,North Carolina,USA,y,y,2023-07-11 22:03:22,Gaffrey Lab,,doi:10.18112/openneuro.ds004635.v3.0.0,https://github.com/gaffreylab/EEG-Microstate-Analysis-Tutorial/tree/main,CC0,FALSE,,All research was approved by the Duke University Health System Institutional Review Board and carried out in accordance with the Declaration of Helsinki,
Kayla,ds004642,n/a,,FALSE,,,No,10,19 - 56,0.001 TB,55,1,1,patients who underwent brain tumor resections in the perirolandic region,.edf,iEEG,n/a,,,X,,,,,,,,,,,,,,,,,,other,,,8,,,,,,,continuous,Resting state EEG,Resting State,electrical stimulation,Neuroimaging,lozHFO,,1.4.0,Zurich,Switzerland,n,n,2023-07-31 8:40:13,Vasileios S. Dimakopoulos,,doi:10.18112/openneuro.ds004642.v1.0.1,"Vasileios Dimakopoulos, Marian C. Neidert, Johannes Sarnthein, Low impedance electrodes improve detection of high frequency oscillations in the intracranial EEG, Clinical Neurophysiology, 2023",CC0,FALSE,"Swiss National Science Foundation, SNSF 204651 ===NEMAR-SEP=== Alexander S. Onassis Public Benefit Foundation Scholarship",Kantonale Ethikkommision PB-2017-00094,
